Site No,Location,Gage,Remarks,Valid
10293048,"Lat 38Â°26'30"", long 119Â°07'48"" referenced to North American Datum of 1927, in NE 1/4 NE 1/4 sec.25, T.7 N., R.26 E., Lyon County, NV, Hydrologic Unit 16050301, on left bank, 30 ft downstream of Highway 338, 0.4 mi upstream of East Walker River, and 14 mi northeast of Bridgeport.","Water-stage recorder. Elevation of gage is 5,880 ft above National Geodetic Vertical Datum of 1929, from topographic map. Prior to Aug. 31, 2010 at site 20 ft downstream at same datum.",10/01/2013-09/30/2014: Records good. 10/01/2014-09/30/2015: Records fair. 10/01/2015-09/30/2016: Records fair. 10/01/2016-09/30/2017: Records fair. Several diversions for irrigation above station.,1.0
10293050,"Lat 38Â°26'27"", long 119Â°06'18"" referenced to North American Datum of 1927, in NW 1/4 NW 1/4 sec.29, T.7 N., R.6 E., Lyon County, NV, Hydrologic Unit 16050301, on left bank, 10 ft downstream from bridge, 1.5 mi downstream from Sweetwater Creek, and 18 mi north-northeast from Bridgeport.","Water-stage recorder. Altitude of gage is 5,760 ft above Natioanl Geodetic Vertical Dataum of 1929, from topographic map.",10/01/2013-09/30/2014: Records poor. Diversions for irrigation above station. Flow regulated by Bridgeport Reservoir (station 10292500).,0.0
10293500,"Lat 38Â°48'49.37"", long 119Â°02'52.77"" referenced to North American Datum of 1983, in NW 1/4 SW 1/4 sec.14, T.11 N., R.26 E., Lyon County, NV, Hydrologic Unit 16050301, on right bank, 0.9 mi upstream from head of Strosnider ditch, 12 mi southeast of Mason, and 13.5 mi southeast of Yerington.","Water-stage recorder. Datum of gage is 4,574.10 ft above National Geodetic Vertical Datum of 1929, from topographic map. Prior to Oct. 24, 1957, near present site at datum 0.56 ft higher. Oct. 24, 1957, to Apr. 3, 1974, at site 400 ft downstream at same datum.","Diversions for irrigation above station. Flow regulated by Bridgeport Reservoir (station 10292500). 10/01/2013-09/30/2015: Records poor. 10/01/2014-09/30/2015: Records poor. 10/01/2015-09/30/2016: Records fair except estimated daily discharges, which are poor. 10/01/2016-09/30/2017: Records fair except for estimated discharges, which are poor. 10/01/2017-09/30/2018: Records fair except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records fair. 10/01/2020-09/30/2021: Records fair except for estimated discharges, which are poor.",0.0
10295500,"Lat 38Â°21'39"", long 119Â°26'38"" referenced to North American Datum of 1927, in NW 1/4 NW 1/4 sec.22, T.6 N., R.23 E., Mono County, CA, Hydrologic Unit 16050302, in Toiyabe National Forest, on right bank, 0.8 mi North of Sonora Junction, 1.5 mi upstream from mouth, and 14 mi northwest of Bridgeport.","Water-stage recorder. Elevation of gage is 6,790 ft above National Geodetic Vertical Datum of 1929, from topographic map. Apr. to Aug. 1910, nonrecording gage at site 1 mi upstream at different datum. Prior to Jan. 2, 1997 at same site, at datum 1.0 ft higher.","Records fair except for estimated daily discharges, which are poor. Small diversions above station.",0.0
10296000,"Lat 38Â°22'47"", long 119Â°26'57"" referenced to North American Datum of 1927, in NE 1/4 SE 1/4 sec.09, T.6 N., R.23 E., Mono County, CA, Hydrologic Unit 16050302, in Toiyabe National Forest, on left bank, 10 ft upstream from bridge on U.S. Highway 395, and 13 mi southeast of Coleville.","Water-stage recorder. Datum of gage is 6,591.39 ft above National Geodetic Vertical Datum of 1929, from topographic map. Prior to Oct. 01, 1939, at site, 125 ft downstream at datum 1.00 ft higher. Oct. 01, 1939, to Sep. 30, 1969, at present site and datum. Oct. 01, 1969, to Jul. 10, 1987, at site 100 ft downstream at same datum. Jul. 10, 1987 to Mar. 05, 1997, at site upstream 100 ft at same datum. Mar. 06, 1997 at site 150 ft downstream at datum 2.00 ft lower.","Station is above diversions except for a few small ranch ditches. Flow slightly regulated by Poore Lake, capacity, 1,200 acre-ft, 7 mi upstream. 10/01/2013-09/30/2014: Records good except for estimated daily discharges, which are poor. 10/01/2014-09/30/2015: Records fair except for estimated daily discharges, periods 05/10/2015 to 05/27/2015 and 06/16/2015, which are poor. 10/01/2015-09/30/2016: Records fair except for estimated daily discharges, which are poor. 10/01/2016-09/30/2017: Records fair except for estimated daily discharges, which are poor. 10/01/2017-09/30/2018: Records fair except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records fair except for estimated discharges, which are poor. 10/01/2020-09/30/2021: Records fair except for estimated discharges, which are poor.",0.0
10296500,"Lat 38Â°30'48"", long 119Â°26'56"" referenced to North American Datum of 1927, in NE 1/4 NE 1/4 sec.28, T.8 N., R.23 E., Mono County, CA, Hydrologic Unit 16050302, in Toiyabe National Forest, on left bank, 250 ft downstream from Rock Creek, and 5 mi southeast of Coleville.","Water-stage recorder. Elevation of gage is 5,520 ft above National Geodetic Vertical Datum of 1929, from topographic map. See WSP 1927 for history of changes prior to Jul. 25, 1964. Jul. 26, 1964 to Jan. 02, 1997 (gage destroyed by flood) at several sites and datums 2,000 ft downstream from present location, when re-established Oct. 28, 1997, at new datum.","Station is above diversions except for a few small ranch ditches. Flow slightly regulated by Poore Lake, capacity, 1,200 acre-ft, 17 mi upstream. 10/01/2013-09/30/2014: Records fair except for estimated and daily discharges greater than 600 ft3/s, which are poor. 10/01/2014-09/30/2015: Records fair. 10/01/2015-09/30/2016: Records fair except for estimated and daily discharges greater than 600 ft3/s, which are poor. 10/01/2016-09/30/2017: Records poor. 10/01/2017-09/30/2018: Records fair except for estimated and discharges greater than 600 ft3/s, which are poor. 10/01/2018-09/30/2019: Records fair except for estimated and discharges greater than 600 ft3/s, which are poor. 10/01/2019-09/30/2020: Records fair. 10/01/2020-09/30/2021: Records poor.",0.0
10297010,"Lat 38Â°41'44"", long 119Â°30'29"" referenced to North American Datum of 1983, in NW 1/4 SE 1/4 SW 1/4 sec.27, T.10 N., R.22 E., Douglas County, NV, Hydrologic Unit 16050302, on left bank, 0.5 mi downstream from Topaz Lake, 6 mi north-northeast of Topaz, and 1.9 mi upstream from West Walker River.","Water-stage recorder. Elevation of gage is 5,020 ft above National American Vertical Datum of 1988, from digital elevation model.","Flow is regulated by Topaz Lake (10297000). 10/01/2013-09/30/2014: Records fair. 10/01/2014-09/30/2015: Records fair. 10/01/2017-09/30/2018: Records fair. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records fair. 10/01/2020-09/30/2021: Records fair.",0.0
10297500,"Lat 38Â°43'41.03"", long 119Â°25'40.3"" referenced to North American Datum of 1983, in NE 1/4 SE 1/4 sec.17, T.10 N., R.23 E., Douglas County, NV, Hydrologic Unit 16050302, on left bank, 20 ft upstream from Hoye Bridge, 2 mi upstream from head of Saroni Canal, and 4 mi southwest of Wellington.","Water-stage recorder. Elevation of gage is 4,980 ft above National Geodetic Vertical Datum of 1929, from topographic map. May to Aug. 1910, nonrecording gage at same site at different datum. Jul. 01, 1920, to Sep. 30, 1923, water-stage recorder at site 3 mi downstream, 1 mi downstream from Saroni Canal, at different datum, and supplemental nonrecording gage at Saroni Canal 1 mi downstream from head. Mar. 01, 1924, to Sep. 30, 1932, water-stage recorder at site at different datum.","Flow regulated by off-channel storage in Topaz Lake (station 10297000), since Jan. 30, 1922. Diversions for irrigation of about 10,500 acres above station. Records include releases from Topaz Lake and all return flow from Antelope Valley. 10/01/2013-09/30/2014: Records good except for estimated daily discharges, which are poor. 10/01/2014-09/30/2015: Records good except for estimated daily discharges, which are poor. 10/01/2015-09/30/2016: Records fair except for estimated daily discharges, which are poor. 10/01/2016-09/30/2017: Records fair except for estimated daily discharges, which are poor. 10/01/2017-09/30/2018: Records fair except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records fair. 10/01/2020-09/30/2021: Records fair except for estimated discharges, which are poor.",0.0
10299100,"Lat 38Â°38'55"", long 119Â°19'30"" referenced to North American Datum of 1927, in NW 1/4 NW 1/4 sec.17, T.9 N., R.24 E., Lyon County, NV, Hydrologic Unit 16050302, on right bank 30 ft above diversion structure, half a mile above Desert Creek Ranch and 8 mi southeast of Wellington.","Crest-stage gage. Elevation of gage is 5,800 ft above National Geodetic Vertical Datum of 1929, from topographic map.","10/01/2013-09/30/2014: Records fair except estimated daily discharges, which are poor. 10/01/2014-09/30/2015: Records fair except estimated daily discharges, which are poor. Some regulation at times, some years, from Lobdell Lake.",0.0
10300000,"Lat 38Â°48'35"", long 119Â°13'35"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.18, T.11 N., R.25 E., Lyon County, NV, Hydrologic Unit 16050302, on left bank, 0.5 mi upstream from Wilson Canyon, and 3 mi southeast of Hudson.","Water-stage recorder. Prior to May 1921, non recording gage at site 2.5 mi upstream at different datum. May 1921 to Mar. 1925, water-stage recorder at approximately same site at different datum.","Flow regulated by off-channel storage in Topaz Lake (station 10297000) since Jan. 30, 1922. Many diversions above station for irrigation. Station is below return flow from irrigated areas in Smith Valley. 10/01/2013-09/30/2014: Records fair except for estimated daily discharges, which are poor. 10/01/2014-09/30/2015: Records fair except for estimated daily discharges, which are poor. 10/01/2015-09/30/2016: Records fair. 10/01/2016-09/30/2017: Records fair except for estimated daily discharges, which are poor. 10/01/2017-09/30/2018: Records fair except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records fair except for estimated discharged, which are poor. 10/01/2020-09/30/2021: Records fair except for estimated discharges, which are poor.",0.0
10300600,"Lat 38Â°55'16.5"", long 119Â°11'29.7"" referenced to North American Datum of 1983, in SE 1/4 NW 1/4 sec.09, T.12 N., R.25 E., Lyon County, NV, Hydrologic Unit 16050303, on left bank upstream from bridge, 2 mi south of Mason, and 5 mi south-southwest of Yerington.","Water-stage recorder. Elevation of gage is 4426 ft above above North American Vertical Datum of 1988, from digital elevation model. Prior to 1984, located approximately 900 ft upstream at different datum.","Many diversions above station for irrigation. Flow regulated by Bridgeport Reservoir (station 10292500) and Topaz Reservoir (station 10297000). 10/01/2013-09/30/2014: Records fair except for estimated daily discharges, which are poor. 10/01/2014-09/30/2015: Records fair except for estimated daily discharges, which are poor. 10/01/2015-09/30/2016: Records fair except for estimated daily discharges, which are poor. 10/01/2016-09/30/2017: Records poor. 10/01/2017-09/30/2018: Records poor. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records fair except for estimated discharges, which are poor. 10/01/2020-09/30/2021: Records fair except for estimated discharges, which are poor.",0.0
10301115,"Lat 39Â°01'13.5"", long 119Â°09'21.8"" referenced to North American Datum of 1983, in SE 1/4 NW 1/4 sec.02, T.13 N., R.25 E., Lyon County, NV, Hydrologic Unit 16050303, on left bank, downstream from weir, 1.9 mi north of Yerington.",Water-stage recorder.,"Several diversions for irrigation in valleys upstream. 03/24/2018-09/30/2018: Records fair except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records fair. 10/01/2020-09/30/2021: Records fair except for estimated discharges, which are poor.",0.0
10301120,"Lat 39Â°02'53.8"", long 119Â°07'59.0"" referenced to North American Datum of 1983, in SW 1/4 SW 1/4 NE 1/4 sec.25, T.14 N., R.25 E., Lyon County, NV, Hydrologic Unit 16050303, on right bank, downstream from bridge, at Miller Lane, 5 mi north of Yerington.","Water-stage recorder. Elevation of gage is 4,353 ft above North American Vertical Datum of 1988, from digital elevation model.","Gage operated during irrigation season, approximately March 1 through October 31. Many diversions for irrigation above station. Flow regulated by Bridgeport Reservoir (station 10292500) and Topaz Lake (station 10297000). 10/01/2014-09/30/2016: Records fair except estimated daily discharges, which are poor. 10/01/2016-09/30/2017: Records fair except for discharges greater than 1,000 ft3/s and estimated discharges, which are poor. 10/01/2017-09/30/2018: Gage operated as crest-stage gage, records not rated. 10/01/2018-07/09/2019: Gage operated as crest-stage gage, records not rated. 07/09/2019-10/31/2019: Records poor. 03/01/2020-09/30/2020: Records fair. 03/01/2021-09/30/2021: Records fair except for estimated discharges, which are poor.",0.0
10301500,"Lat 39Â°09'08.86"", long 119Â°05'56"" referenced to North American Datum of 1983, in SE 1/4 NW 1/4 sec.20, T.15 N., R.26 E., Lyon County, NV, Hydrologic Unit 16050303, on left bank, 600 ft upstream from timber bridge at Julian Ranch, 1.8 mi downstream from Southern Pacific Railroad bridge, 4.6 mi east of Wabuska, and 16 mi upstream from Weber Dam.","Water-stage recorder. Elevation of gage is 4,300 ft above National Geodetic Vertical Datum of 1929, from topographic map. Jul. 22, 1902, to Jul. 31, 1908, nonrecording gage at site 2.5 mi upstream at different datum. Jan. 15, 1920, to Sep. 30, 1929, nonrecording gage or water-stage recorder at several sites near present site at various datums; Oct. 1, 1929, to Sep. 30, 1935, water-stage recorder at site 1.5 mi downstream at different datum. Jan. 1939 to Sep. 1958, non-recording gage on bridge 300 ft downstream at datum 1.19 ft higher.","Many diversions for irrigation above station. Flow regulated by Bridgeport Reservoir (station 10292500) and Topaz Lake (station 10297000), combined capacity, 101,900 acre-ft. No flow at times in 1924, 1925, 1931 and 2014. 10/01/2013-09/30/2014: Records fair except for estimated daily discharges, which are poor. 10/01/2014-09/30/2015: Records fair. 10/01/2015-09/30/2016: Records fair except for estimated daily discharges, which are poor. 10/01/2016-09/30/2017: Records fair except for estimated daily discharges, which are poor. 10/01/2017-09/30/2018: Records fair except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records good except for estimated discharges, which are poor. 10/01/2020-09/30/2021: Records fair except for estimated discharges, which are poor.",0.0
10301600,"Lat 39Â°06'12"", long 118Â°55'42"" referenced to North American Datum of 1927, in NW 1/4 SE 1/4 sec.02, T.14 N., R.27 E., Lyon County, NV, Hydrologic Unit 16050303, on left bank, 5.5 mi upstream from Weber Dam, about 11 mi downstream from gage near Wabuska, and 12 mi northwest of Schurz.","Water-stage recorder. Elevation of gage is 4,215 ft above National Geodetic Vertical Datum of 1929, from topographic map. Prior to Sep. 1982, at same site at datum 1.0 ft higher.","Many diversions for irrigation above station. Flow regulated by Bridgeport Reservoir (station 10292500) and Topaz Lake (station 10297000), combined capacity, 101,900 acre-ft. Some flow may bypass primary channel and gage at times. 10/01/2013-09/30/2014: Records poor. 10/01/2014-09/30/2015: Records poor. 10/01/2015-09/30/2016: Records fair except for estimated daily discharges, which are poor. 10/01/2016-09/30/2017: Records fair except for estimated daily discharges, which are poor. 10/01/2017-09/30/2018: Records fair except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records fair. 10/01/2020-09/30/2021: Records fair except for estimated discharges, which are poor.",0.0
10301720,"Lat 39Â°02'02"", long 118Â°51'41"" referenced to North American Datum of 1927, in SW 1/4 NW 1/4 sec.33, T.14 N., R.28 E., Mineral County, NV, Hydrologic Unit 16050303, 0.6 mi south of Weber Reservoir, and 6.3 mi northwest of Schurz NV.","Water-stage recorder. Datum of gage is 4,710 ft above National Geodetic Vertical Datum of 1929.","Diversions for irrigation above station. Flow regulated by Bridgeport Reservoir (station 10292500), Topaz Lake (station 10297000), and Weber Reservoir (station 10301700), combined capacity, 112,600 acre-ft. 10/01/2013-09/30/2014: Records fair except for estimated daily discharges, which are poor. 10/01/2014-09/30/2015: Records fair. 10/01/2015-09/30/2016: Records fair except for estimated daily discharges, which are poor. 10/01/2016-09/30/2017: Records fair. 10/01/2017-09/30/2018: Records fair. 10/01/2018-09/30/2019: Records good except for estimated discharges, which are fair. 10/01/2019-09/30/2020: Records good.",0.0
10301742,"Lat 39Â°00'51"", long 118Â°51'36"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.04, T.13 N., R.28 E., Mineral County, NV, Hydrologic Unit 16050303, on right bank of canal, about 2 mi downstream from Weber Dam, and about 5 mi northwest of Schurz.","Water-stage recorder. Elevation of gage is 4,160 ft above National Geodetic Vertical Datum of 1929, from topographic map.","Flow is regulated by a control gate on the Walker River and many reservoirs and diversions above the control gate. 10/01/2013-09/30/2014: Records fair. 10/01/2014-09/30/2015: Records fair except for estimated daily discharges, which are poor. 10/01/2015-09/30/2016: Records good. 10/01/2016-09/30/2017: Records fair except for estimated daily discharges, which are poor. 10/01/2017-09/30/2018: Records fair above 7 ft3/s and poor below, except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records fair above 7 ft3/s and poor below, except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records fair above 7 ft3/s and poor below, except for estimated discharges, which are poor. 10/01/2020-09/30/2021: Records fair above 7 ft3/s and poor below, except for estimated discharges, which are poor.",0.0
10301745,"Lat 39Â°00'49"", long 118Â°51'36"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.04, T.13 N., R.28 E., Mineral County, NV, Hydrologic Unit 16050303, on left bank approximately 2 mi below Weber Reservoir near Schurz.","Water-stage recorder. Elevation of gage is 4,160 ft above National Geodetic Vertical Datum of 1929, from topographic map.","Flow regulated by Bridgeport Reservoir (station 10292500), Topaz Lake (station 10297000) and Weber Reservoir (station 10301700), combined capacity, 112,600 acre-ft. There are two diversions (stations 10301742 and 10301755) from the gage pool. 10/01/2013-09/30/2014: Records poor. 10/01/2014-09/30/2015: Records poor. 10/01/2015-09/30/2016: Records poor. 10/01/2016-09/30/2017: Records poor. 10/01/2017-09/30/2018: Records good. 10/01/2018-09/30/2019: Records good except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records good. 10/01/2020-09/30/2021: Records poor.",0.0
10301755,"Lat 39Â°00'45"", long 118Â°51'37"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.04, T.13 N., R.28 E., Mineral County, NV, Hydrologic Unit 16050303, on left bank of canal which diverts from the right bank of river, about 2 mi downstream from Weber Dam, and about 5 mi northwest of Schurz.","Water-stage recorder. Elevation of gage is 4,160 ft above National Geodetic Vertical Datum of 1929, from topographic map.","Flow is regulated by a control gate on the Walker River and many reservoirs and diversions above the control gate. 10/01/2013-09/30/2014: Records poor. 10/01/2014-09/30/2015: Records fair, except for estimated daily discharges, which are poor. 10/01/2015-09/30/2016: Records fair, except for estimated daily discharges, which are poor. 10/01/2016-09/30/2017: Records fair, except for discharges less than 0.4 ft3/s and estimated discharges, which are poor. 10/01/2017-09/30/2018: Records fair above 1 ft3/s and poor below, except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records good above 1 ft3/s and poor below, except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records good above 1 ft3/s and poor below, except for estimated discharges, which are poor. 10/01/2020-09/30/2021: Records fair above 1 ft3/s and poor below.",0.0
10302002,"Lat 38Â°56'25"", long 118Â°48'10"" referenced to North American Datum of 1927, in SE 1/4 SW 1/4 sec.36, T.13 N., R.28 E., Mineral County, NV, Hydrologic Unit 16050303, on left bank, 0.4 mi east of U.S. Highway 95 and U.S. Alternate Highway 95 Junction, and 0.9 mi southeast of U.S. Highway 95 Highway Bridge in Schurz.","Water-stage recorder. Elevation of gage is 4,140 ft above National Geodetic Vertical Datum of 1929, from topographic map.","Diversions for irrigation above station. Flow regulated by Bridgeport Reservoir (station 10292500), Topaz Lake (station 10297000), and Weber Reservoir (station 10301700), combined capacity, 112,600 acre-ft. 10/01/2013-09/30/2014: Records poor. 10/01/2014-09/30/2015: Records good. 10/01/2015-09/30/2016: Records good. 10/01/2016-09/30/2017: Records fair. 10/01/2017-09/30/2018: Records fair. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records good except for estimated discharges, which are poor.",0.0
10302025,"Lat 38Â°47'28"", long 118Â°43'34"" referenced to North American Datum of 1927, in SE 1/4 SE 1/4 sec.29, T.11 N., R.29 E., Mineral County, NV, Hydrologic Unit 16050304, 1.5 mi southeast of Pelican Point, and about 10 mi northeast of Walker Lake.","Water-stage recorder. Elevation of gage is 3,940 ft above National Geodetic Vertical Datum of 1929, from topographic map.","Diversions for irrigation above station. Flow regulated by Bridgeport Reservoir (station 10292500), Topaz Lake (station 10297000), and Weber Reservoir (station 10301700), combined capacity, 112,600 acre-ft. 10/01/2013-09/30/2014: Records poor. 10/01/2014-09/30/2015: Records poor. 10/01/2015-09/30/2016: Records fair except for estimated discharges, which are poor. 10/01/2016-09/30/2017: Records poor. 10/01/2017-09/30/2018: Records poor. 10/01/2018-09/30/2019: Records poor. 10/01/2019-09/30/2020: Records poor. 10/01/2020-09/30/2021: Records poor.",0.0
10308200,"Lat 38Â°42'53"", long 119Â°45'50"" referenced to North American Datum of 1927, in SW 1/4 NE 1/4 sec.15, T.10 N., R.20 E., Alpine County, CA, Hydrologic Unit 16050201, on right bank, 0.5 mi downstream from Markleeville Creek, 1.5 mi northeast of Markleeville, and at mi 114.75 upstream from Lahontan Dam.","Water-stage recorder. Elevation of gage is 5,400 ft above National Geodetic Vertical Datum of 1929, from topographic map. Prior to Oct. 01, 1967, at present site at datum 2.00 ft higher.","A few small diversions for irrigation above station. Flow slightly regulated by several small reservoirs, total capacity, about 5,000 acre-ft. 10/01/2013-09/30/2014: Records good except for estimated discharges, which are poor. 10/01/2014-09/30/2015: Records fair except for estimated discharges, which are poor. 10/01/2015-09/30/2016: Records fair except for estimated discharges, which are poor. 10/01/2016-09/30/2017: Records fair except for estimated discharges, which are poor. 10/01/2017-08/31/2018: Records fair except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records fair except for estimated discharges, which are poor. 10/01/2020-09/30/2021: Records fair except for estimated discharges, which are poor.",0.0
10308800,"Lat 38Â°47'38"", long 119Â°40'18"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.30, T.11 N., R.21 E., Douglas County, NV, Hydrologic Unit 16050201, on right bank, 500 ft upstream from Doud Springs, 1.7 mi upstream from mouth, and 11 mi southeast of Gardnerville.","Water-stage recorder. Datum of gage is 5,445.91 ft above National Geodetic Vertical Datum of 1929. Prior to Jul. 22, 1963, at same site at datum 0.04 ft higher. Prior to Apr. 1994 at site 50 ft downstream at datum 3.79 ft higher.",10/01/2013-09/30/2014: Records poor. 10/01/2014-09/30/2015: Records poor. 10/01/2015-09/30/2016: Records poor.,0.0
10309000,"Lat 38Â°50'42.7"", long 119Â°42'21.9"" referenced to North American Datum of 1983, in NW 1/4 SE 1/4 sec.02, T.11 N., R.20 E., Douglas County, NV, Hydrologic Unit 16050201, on left bank, at lower end of Horseshoe Bend, 2 mi east of Mud Lake Reservoir, 4.3 mi downstream from Bryant Creek, 7 mi southeast of Gardnerville, and at mi 100.1 upstream from Lahontan Dam.","Water-stage recorder. Datum of gage is 4,987.68 ft above National Geodetic Vertical Datum of 1929, from topographic map. Prior to May 19, 1939, nonrecording gages at several sites within 2 mi of present site at various datums. Prior to Jul. 20, 2001, at site 300 ft downstream and 2.57 ft lower. Prior to January 27, 2012, at site approximately 900 ft downstream. Gage datum is the same for all sites.","Station is above all diversions in Carson Valley. Diversions for irrigation above station. Flow slightly regulated by several small reservoirs, total capacity, about 5,000 acre-ft. 10/01/2013-09/30/2014: Records good except for estimated daily discharges, which are poor. 10/01/2014-09/30/2015: Records good. 10/01/2015-09/30/2016: Records good except for estimated daily discharges, which are poor. 10/01/2016-09/30/2017: Records fair except for estimated daily discharges, which are poor. 10/01/2017-09/30/2018: Records fair except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records fair except for estimated discharges, which are poor. 10/01/2019-09/30/2020: Records fair except for estimated discharges, which are poor. 10/01/2020-09/30/2021: Records fair except for estimated discharges, which are poor.",0.0
10309010,"Lat 38Â°52'48.5"", long 119Â°41'30.5"" referenced to North American Datum of 1983, in NW 1/4 NW 1/4 sec.25, T.12 N., R.20 E., Douglas County, NV, Hydrologic Unit 16050201, on left bank, approximately 1,500 ft. above Allerman Canal diversion dam, and about 2 mi southeast of Dresslerville.","Water-stage recorder. Datum of gage is 4,896 ft above North American Vertical Datum of 1988, from digital elevation model.","In Apr. 1993, station incorporated into the National Water-Quality Assessment Program (NAWQA) to monitor water-quality conditions in the Carson River Basin. 06/15/2014-10/15/2014: Records fair. 03/15/2015-10/15/2015: Records good. 06/15/2016-10/16/2016: Records good. 06/15/2017-10/15/2017: Records fair. 06/15/2018-10/15/2018: Records good. 06/15/2019-10/15/2019: Records good. 06/15/2020-10/15/2020: Records good. 06/15/2021-10/15/2021: Records fair.",2.0
10309035,"Lat 38Â°52'44.47"", long 119Â°42'09.76"" referenced to North American Datum of 1983, in NW 1/4 NE 1/4 sec.26, T.12 N., R.20 E., Douglas County, NV, Hydrologic Unit 16050201, 0.75 mi above confluence with East Fork Carson River, and 5.0 mi south of Gardnerville.",,,0.0
10309050,"Lat 38Â°51'32.2"", long 119Â°34'06.9"" referenced to North American Datum of 1983, in NE 1/4 SE 1/4 sec.36, T.12 N., R.21 E., Douglas County, NV, Hydrologic Unit 16050201, 11 mi southeast of Gardnerville and 22 mi southwest of Yerington.","Water-stage recorder. Datum of gage is 6,354 ft above NAVD88, from topographic map.",04/12/2021-09/30/2021: Records poor.,0.0
10310000,"Lat 38Â°46'11"", long 119Â°49'58"" referenced to North American Datum of 1927, in NW 1/4 SE 1/4 sec.34, T.11 N., R.19 E., Alpine County, CA, Hydrologic Unit 16050201, in Toiyabe National Forest, on left bank, 0.3 mi downstream from bridge on State Highway 88-89, 0.6 mi southwest of Woodfords, 3.8 mi downstream from Willow Creek, and 21.2 mi from mouth.","Water-stage recorder. Datum of gage is 5,754.5 ft above National Geodetic Vertical Datum of 1929, from topographic map. Prior to Oct. 01, 1938, nonrecording gage at about the same site at different datum. Oct. 01, 1938, to Nov. 11, 1958, water-stage recorder at same site at datum 1.02 ft lower. Nov. 13, 1958, to Jan. 30, 1963, water-stage recorder at site 150 ft downstream at datum 3.06 ft lower. Jan. 1997 flood, channel changed course upstream and existing site unusable. Gage moved 200 ft upstream Mar. 1997 at same datum.","One small diversion above station for irrigation. Flow slightly regulated by several small reservoirs, total capacity, about 1,500 acre-ft. 10/01/2013-09/30/2014: Records fair except for estimated daily discharges, which are poor. 10/01/2014-09/30/2015: Records good. 10/01/2015-09/30/2016: Records fair except for estimated daily discharges, which are poor. 10/01/2016-09/30/2017: Records fair except for estimated daily discharges, which are poor. 10/01/2017-09/30/2018: Records fair except for estimated discharges, which are poor. 10/01/2018-09/30/2019: Records poor. 10/01/2019-09/30/2020: Records fair except for estimated discharges, which are poor. 10/01/2020-09/30/2021: Records poor.",0.0
10310300,"Lat 38Â°49'38"", long 119Â°47'56"" referenced to North American Datum of 1927, in NE 1/4 SW 1/4 sec.12, T.11 N., R.19 E., Alpine County, CA, Hydrologic Unit 16050201,",,,0.0
10310400,"Lat 38Â°57'52.20"", long 119Â°50'57.55"" referenced to North American Datum of 1983, in SW 1/4 NE 1/4 sec.28, T.13 N., R.19 E., Douglas County, NV, Hydrologic Unit 16050201, in Haines Canyon on left bank, 0.55 mi upstream from Foothill Road, and 3.5 mi southwest of Genoa.","Water-stage recorder. Elevation of gage is 5,100 ft above National Geodetic Vertical Datum of 1929, from topographic map.","Flow slightly regulated by East Peak Lake, 3 mi upstream, capacity of 125 acre-ft. Intermittent pumping of effluent from Lake Tahoe Basin by Douglas County Sewer Improvement District No. 1, occurred from Feb. 1969 to Nov. 1971. 10/01/2013-09/30/2014: Records fair. 10/01/2014-09/30/2015: Records fair. 10/01/2015-09/30/2016: Records fair except for estimated daily discharges, which are poor. Records fair. 10/01/2016-09/30/2017: Records fair except for estimated discharges, which are poor. 10/01/2017-09/30/2018: Records fair. 10/01/2018-09/30/2019: Records fair. 10/01/2019-09/30/2020: Records fair. 10/01/2020-09/30/2021: Records fair.",0.0
